Company,TypeName,Inches,Ram,Price_euros,Touchscreen,CPU_freq,CPU_model,GPU_model,OS_No OS,OS_Other,OS_Windows 10,OS_Windows 7,GPU_company_ARM,GPU_company_Intel,GPU_company_Nvidia
1,2,2.533696813957432,1.0986122886681098,5.62040086571715,1,0.7419373447293773,1,2,False,False,True,False,False,True,False
5,0,2.9069010598473755,2.1972245773362196,7.084058763450528,0,1.33500106673234,4,1,False,False,True,False,False,False,True
0,1,2.533696813957432,1.6094379124341003,6.186208623900494,0,0.9555114450274363,5,2,False,False,True,False,False,True,False
3,1,2.70805020110221,2.1972245773362196,6.919199542866395,0,1.252762968495368,3,2,False,False,True,False,False,True,False
2,1,2.8094026953624978,1.6094379124341003,6.716594773520978,0,1.252762968495368,3,2,False,False,True,False,False,True,False
0,1,2.8094026953624978,1.6094379124341003,5.993961427306569,0,1.3862943611198906,5,3,False,False,True,False,False,False,False
3,1,2.8094026953624978,2.1972245773362196,6.579251212010101,0,1.308332819650179,4,4,False,False,True,False,False,False,False
1,1,2.70805020110221,1.6094379124341003,5.700443573390687,0,0.7419373447293773,1,2,False,False,True,False,False,True,False
3,2,2.9069010598473755,2.1972245773362196,7.52940108725331,0,1.33500106673234,3,3,False,False,True,False,False,False,True
3,1,2.8094026953624978,1.6094379124341003,5.986452005284438,0,1.0986122886681098,2,2,False,False,True,False,False,True,False
2,3,2.6026896854443837,2.1972245773362196,7.295192184570911,1,1.252762968495368,3,2,False,False,True,False,False,True,False
4,1,2.8094026953624978,1.9459101490553132,6.672032945461067,0,1.308332819650179,4,0,False,False,True,False,False,False,True
2,1,2.70805020110221,2.1972245773362196,6.993932975223189,0,1.33500106673234,3,0,False,False,False,False,False,False,True
2,1,2.8094026953624978,1.6094379124341003,6.09805181000363,0,0.9555114450274363,5,2,False,False,True,False,False,True,False
3,1,2.8094026953624978,2.1972245773362196,6.522092798170152,0,1.252762968495368,4,2,False,False,True,False,False,True,False
1,1,2.8094026953624978,2.1972245773362196,6.646390514847729,0,1.252762968495368,3,3,False,False,True,False,False,False,True
5,2,2.533696813957432,1.6094379124341003,5.598421958998375,0,0.9555114450274363,0,2,False,True,False,False,False,True,False
1,0,2.9069010598473755,2.1972245773362196,7.479299637782834,0,1.252762968495368,3,1,False,False,True,False,False,False,True
4,1,2.70805020110221,2.1972245773362196,6.754685681241666,0,1.252762968495368,3,0,False,False,True,False,False,False,True
2,1,2.8094026953624978,2.1972245773362196,6.862757913051401,0,1.252762968495368,3,2,False,False,True,False,False,True,False
3,1,2.8094026953624978,1.6094379124341003,6.086069933148976,0,1.0986122886681098,2,4,False,False,True,False,False,False,False
3,2,2.9069010598473755,2.1972245773362196,7.9724660159745655,0,1.2809338454620642,4,3,False,False,False,True,False,False,False
3,1,2.70805020110221,1.6094379124341003,5.438079308923196,0,0.9555114450274363,0,2,False,False,True,False,False,True,False
3,1,2.8094026953624978,2.1972245773362196,7.051855622955894,0,1.252762968495368,3,3,False,False,True,False,False,False,False
1,0,2.9069010598473755,2.833213344056216,7.249925536717988,0,1.33500106673234,4,1,False,False,True,False,False,False,True
5,3,2.797281334830153,2.833213344056216,7.800150780272373,0,1.33500106673234,4,3,False,True,False,False,False,False,False
3,3,2.6602595372658615,2.1972245773362196,7.047517221357296,1,1.308332819650179,4,2,False,False,True,False,False,True,False
2,0,2.9069010598473755,3.4965075614664802,8.205327710041223,0,1.33500106673234,4,1,False,False,True,False,False,False,True
1,3,2.8094026953624978,2.833213344056216,7.292337176173877,0,1.308332819650179,4,0,False,False,True,False,False,False,True
2,0,2.8094026953624978,2.833213344056216,7.426549072397305,0,1.33500106673234,4,3,False,False,True,False,False,False,True
2,1,2.9069010598473755,2.1972245773362196,6.763884908562435,0,1.308332819650179,4,3,False,False,False,False,False,False,False
3,2,2.8094026953624978,2.1972245773362196,7.709756864454165,0,1.2809338454620642,4,3,False,False,False,True,False,False,True
3,2,2.6602595372658615,2.1972245773362196,7.396335293800808,1,1.2237754316221157,3,2,False,False,True,False,False,True,False
5,1,2.8094026953624978,1.6094379124341003,6.212606095751519,0,1.1314021114911006,2,2,False,False,True,False,False,True,False
1,0,2.8094026953624978,2.833213344056216,7.803843303538772,0,1.33500106673234,4,1,False,False,True,False,False,False,True
4,3,2.6026896854443837,2.1972245773362196,7.265429723253953,0,1.252762968495368,3,2,False,False,True,False,False,True,False
0,1,2.8094026953624978,1.6094379124341003,5.811140992976701,0,1.0986122886681098,1,2,False,False,True,False,False,True,False
2,1,2.6602595372658615,1.6094379124341003,6.745236349484363,0,1.0986122886681098,2,2,False,False,True,False,False,True,False
4,0,2.8094026953624978,2.1972245773362196,6.709304340258298,0,1.252762968495368,3,1,False,False,True,False,False,False,True
5,3,2.6602595372658615,2.1972245773362196,7.313220387090301,0,1.252762968495368,3,2,False,False,True,False,False,True,False
5,0,2.9069010598473755,2.833213344056216,7.882314918980268,0,1.2809338454620642,4,1,False,False,True,False,False,False,True
0,1,2.8094026953624978,1.6094379124341003,5.3471075307174685,0,0.9162907318741551,5,2,False,True,False,False,False,True,False
4,2,2.70805020110221,2.833213344056216,7.824046010856292,1,1.2809338454620642,4,2,False,False,True,False,False,True,False
4,1,2.8094026953624978,2.1972245773362196,7.645397699428633,0,1.3609765531356006,4,3,False,False,True,False,False,False,True
4,1,2.9069010598473755,1.9459101490553132,6.579251212010101,0,1.252762968495368,3,1,False,False,True,False,False,False,True
1,1,2.8094026953624978,1.6094379124341003,6.3561076606958915,0,1.252762968495368,5,3,False,False,True,False,False,False,False
4,1,2.8094026953624978,1.6094379124341003,6.150602768446279,0,1.0986122886681098,2,3,False,False,True,False,False,False,True
5,1,2.8094026953624978,2.833213344056216,7.244905856906428,0,1.0296194171811581,4,3,True,False,False,False,False,False,True
3,1,2.8094026953624978,2.1972245773362196,6.3561076606958915,0,1.252762968495368,3,2,True,False,False,False,False,True,False
5,3,2.797281334830153,2.833213344056216,7.669014276347654,0,1.1631508098056809,4,3,False,True,False,False,False,True,False
1,2,2.8094026953624978,2.5649493574615367,7.003065458786462,1,1.308332819650179,4,3,False,False,True,False,False,False,True
2,3,2.6602595372658615,2.833213344056216,7.824046010856292,1,1.0296194171811581,4,5,False,False,True,False,False,True,False
3,2,2.6026896854443837,1.6094379124341003,7.3777589082278725,0,1.1939224684724346,3,2,False,False,False,True,False,True,False
0,1,2.8094026953624978,1.6094379124341003,6.214608098422191,0,1.2237754316221157,2,2,False,False,True,False,False,True,False
4,3,2.70805020110221,2.1972245773362196,7.313220387090301,0,1.2809338454620642,4,2,False,False,False,True,False,True,False
2,0,2.8094026953624978,2.833213344056216,7.62657020629066,0,1.252762968495368,3,1,False,False,True,False,False,False,True
4,1,2.8094026953624978,1.9459101490553132,6.54534966033442,0,1.252762968495368,3,0,False,False,True,False,False,False,True
2,3,2.6602595372658615,2.1972245773362196,6.8382765752120775,0,1.0296194171811581,4,4,False,False,True,False,False,False,False
3,1,2.8094026953624978,2.1972245773362196,6.742290839254605,0,1.252762968495368,3,0,False,False,True,False,False,False,True
2,1,2.8094026953624978,2.1972245773362196,6.68586094706836,0,0.9555114450274363,3,4,False,False,True,False,False,False,False
